date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-09-03,14:26:26.831703,14:26:30.752298,000799EB9B,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-03,14:26:38.069189,14:26:41.934237,000799EB9B,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-03,14:26:46.717928,14:26:50.645689,000799EB9B,L1,go,2,7KHZ.npz,miss,"['14:26:48.768349', '14:26:48.938704', '14:26:49.103413', '14:26:49.267980']"
2025-09-03,14:28:11.950863,14:28:15.856463,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-03,14:28:17.570811,14:28:19.679759,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['14:28:17.635733', '14:28:17.882629', '14:28:18.049701', '14:28:18.375270', '14:28:18.539455', '14:28:18.785114']"
2025-09-03,14:28:21.303513,14:28:30.654443,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['14:28:21.773877', '14:28:22.907233', '14:28:23.071578', '14:28:23.316652', '14:28:23.562204', '14:28:23.806403']"
2025-09-03,14:28:36.797089,14:28:45.495371,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['14:28:37.600712', '14:28:37.766802', '14:28:38.018656', '14:28:38.264594', '14:28:38.430165', '14:28:38.679046']"
2025-09-03,14:28:55.758048,14:28:59.646624,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['14:28:57.772046']
2025-09-03,14:29:01.217602,14:29:05.179953,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,"['14:29:02.276407', '14:29:02.846190']"
2025-09-03,14:29:28.679679,14:29:31.191052,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['14:29:28.751254', '14:29:29.405280', '14:29:29.651160', '14:29:29.897860', '14:29:30.062579', '14:29:30.307048']"
2025-09-03,14:29:33.197990,14:29:35.726120,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['14:29:33.852524', '14:29:34.099487', '14:29:34.263791', '14:29:34.512225', '14:29:34.676644', '14:29:34.841165']"
2025-09-03,14:29:41.818547,14:29:49.844644,00082ED4D6,L1,no-go,3,14KHZ.npz,fa,"['14:29:41.986295', '14:29:42.153122', '14:29:42.319182', '14:29:42.564890', '14:29:42.728912', '14:29:42.978651']"
2025-09-03,14:29:53.694269,14:29:56.206412,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['14:29:54.348760', '14:29:54.593013', '14:29:54.757678', '14:29:55.002630', '14:29:55.166610', '14:29:55.330869']"
2025-09-03,14:29:58.171892,14:30:00.497959,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['14:29:58.801508', '14:29:58.965384', '14:29:59.129640', '14:29:59.293877', '14:29:59.458245', '14:29:59.626607']"
2025-09-03,14:30:02.847918,14:30:06.749482,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-03,14:30:13.648296,14:30:17.577465,00082ED4D6,L1,no-go,3,14KHZ.npz,cr,['14:30:13.946164']
2025-09-03,14:30:34.283221,14:30:38.125243,000799EB9B,L1,go,2,7KHZ.npz,miss,[]
2025-09-03,14:31:03.777598,14:31:07.654941,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
2025-09-03,14:31:09.195291,14:31:13.057994,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,"['14:31:11.505146', '14:31:12.151947']"
2025-09-03,14:31:22.191058,14:31:26.087750,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-09-03,14:31:28.929515,14:31:32.839934,00082ECFD2,L1,go,2,7KHZ.npz,miss,[]
