date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-10-30,16:00:59.065811,16:01:02.815633,0007DECB4A,1B_2T,go,5,7-69.npz,miss,[]
2025-10-30,16:01:04.664355,16:01:08.022929,0007DECB4A,1B_2T,go,4,7-07.npz,hit,"['16:01:06.412575', '16:01:06.658532', '16:01:06.847216', '16:01:07.045538', '16:01:07.253780']"
2025-10-30,16:01:10.193997,16:01:18.305390,0007DECB4A,1B_2T,no-go,6,12-77.npz,fa,"['16:01:10.683566', '16:01:10.919700', '16:01:11.116606', '16:01:11.353370', '16:01:11.579185']"
2025-10-30,16:01:25.972453,16:01:34.225253,0007DECB4A,1B_2T,no-go,7,13-9.npz,fa,"['16:01:26.862239', '16:01:27.063725', '16:01:27.211150', '16:01:27.355908', '16:01:27.506597']"
2025-10-30,16:23:14.233235,16:23:17.557672,0007DECB4A,1B_2T,go,5,7-69.npz,hit,"['16:23:15.775586', '16:23:15.974943', '16:23:16.183271', '16:23:16.575259', '16:23:16.782855']"
2025-10-30,16:23:18.806988,16:23:22.538177,0007DECB4A,1B_2T,go,5,7-69.npz,miss,"['16:23:19.291278', '16:23:19.549126', '16:23:19.782103', '16:23:19.992043']"
2025-10-30,16:27:22.487631,16:27:24.858946,0007DECB4A,1B_2T,go,5,7-69.npz,hit,"['16:27:23.312607', '16:27:23.500311', '16:27:23.693060', '16:27:23.898460', '16:27:24.073841']"
2025-10-30,17:30:22.170568,17:30:25.992065,0007DECB4A,1B_2T,no-go,6,12-77.npz,cr,[]
2025-10-30,17:30:28.202817,17:30:31.999876,0007DECB4A,1B_2T,go,4,7-07.npz,miss,[]
2025-10-30,17:30:53.193286,17:30:56.979530,0007DECB4A,1B_2T,no-go,6,12-77.npz,cr,[]
2025-10-30,17:39:26.739353,17:39:30.472473,0007DECB4A,1B_2T,go,4,7-07.npz,miss,[]
2025-10-30,17:39:32.669951,17:39:36.474468,0007DECB4A,1B_2T,no-go,6,12-77.npz,cr,[]
2025-10-30,17:41:28.403021,17:41:30.929170,0007DECB4A,1B_2T,go,4,7-07.npz,hit,"['17:41:29.193692', '17:41:29.406747', '17:41:29.605923', '17:41:29.783217', '17:41:30.132987']"
2025-10-30,17:41:34.415469,17:41:36.858819,0007DECB4A,1B_2T,go,4,7-07.npz,hit,"['17:41:35.333831', '17:41:35.563006', '17:41:35.748464', '17:41:35.913628', '17:41:36.088903']"
2025-10-30,17:41:41.777769,17:41:49.904743,0007DECB4A,1B_2T,no-go,7,13-9.npz,fa,"['17:41:42.333307', '17:41:42.539703', '17:41:42.735818', '17:41:42.932085', '17:41:43.127959']"
2025-10-30,17:42:23.182465,17:42:31.443651,0007DECB4A,1B_2T,no-go,6,12-77.npz,fa,"['17:42:24.059608', '17:42:24.236966', '17:42:24.413414', '17:42:24.589503', '17:42:24.744045']"
2025-10-30,17:42:32.638462,17:42:34.871108,0007DECB4A,1B_2T,go,5,7-69.npz,hit,"['17:42:33.187093', '17:42:33.376861', '17:42:33.551999', '17:42:33.922098', '17:42:34.138008']"
2025-10-30,17:42:38.184020,17:42:41.986751,0007DECB4A,1B_2T,no-go,7,13-9.npz,cr,[]
2025-10-30,17:42:44.499606,17:42:46.466801,0007DECB4A,1B_2T,go,5,7-69.npz,hit,"['17:42:45.027217', '17:42:45.213197', '17:42:45.368628', '17:42:45.536897', '17:42:45.716069']"
2025-10-30,17:43:07.636005,17:43:11.378975,0007DECB4A,1B_2T,go,4,7-07.npz,miss,"['17:43:10.274163', '17:43:10.442430', '17:43:10.619003']"
2025-10-30,17:43:12.739205,17:43:16.508578,0007DECB4A,1B_2T,no-go,7,13-9.npz,cr,[]
2025-10-30,17:43:18.919515,17:43:21.296513,0007DECB4A,1B_2T,go,4,7-07.npz,hit,"['17:43:19.506090', '17:43:19.721719', '17:43:19.917588', '17:43:20.117354', '17:43:20.524654']"
